,Close,Date
0,1.5319545269012451,2000-01-03 00:00:00-02:00
1,1.4954791069030762,2000-01-04 00:00:00-02:00
2,1.4954791069030762,2000-01-05 00:00:00-02:00
3,1.4954791069030762,2000-01-06 00:00:00-02:00
4,1.550191879272461,2000-01-07 00:00:00-02:00
5,1.6778545379638672,2000-01-10 00:00:00-02:00
6,1.6815024614334106,2000-01-11 00:00:00-02:00
7,1.6979156732559204,2000-01-12 00:00:00-02:00
8,1.7544528245925903,2000-01-13 00:00:00-02:00
9,1.7872803211212158,2000-01-14 00:00:00-02:00
10,1.823755145072937,2000-01-17 00:00:00-02:00
11,1.7690424919128418,2000-01-18 00:00:00-02:00
12,1.76174795627594,2000-01-19 00:00:00-02:00
13,1.7508054971694946,2000-01-20 00:00:00-02:00
14,1.714329719543457,2000-01-21 00:00:00-02:00
15,1.7508054971694946,2000-01-24 00:00:00-02:00
16,1.7508054971694946,2000-01-25 00:00:00-02:00
17,1.7362147569656372,2000-01-26 00:00:00-02:00
18,1.7508054971694946,2000-01-27 00:00:00-02:00
19,1.7508054971694946,2000-01-28 00:00:00-02:00
20,1.7508054971694946,2000-01-31 00:00:00-02:00
21,1.714329719543457,2000-02-01 00:00:00-02:00
22,1.641379714012146,2000-02-02 00:00:00-02:00
23,1.641379714012146,2000-02-03 00:00:00-02:00
24,1.7033876180648804,2000-02-04 00:00:00-02:00
25,1.7872803211212158,2000-02-07 00:00:00-02:00
26,1.891234278678894,2000-02-08 00:00:00-02:00
27,1.8602309226989746,2000-02-09 00:00:00-02:00
28,1.7508054971694946,2000-02-10 00:00:00-02:00
29,1.6592527627944946,2000-02-11 00:00:00-02:00
30,1.6377320289611816,2000-02-14 00:00:00-02:00
31,1.6778545379638672,2000-02-15 00:00:00-02:00
32,1.6778545379638672,2000-02-16 00:00:00-02:00
33,1.641379714012146,2000-02-17 00:00:00-02:00
34,1.641379714012146,2000-02-18 00:00:00-02:00
35,1.641379714012146,2000-02-21 00:00:00-02:00
36,1.6049045324325562,2000-02-22 00:00:00-02:00
37,1.641379714012146,2000-02-23 00:00:00-02:00
38,1.6231420040130615,2000-02-24 00:00:00-02:00
39,1.6049045324325562,2000-02-25 00:00:00-02:00
40,1.5684292316436768,2000-02-28 00:00:00-03:00
41,1.4881843328475952,2000-02-29 00:00:00-03:00
42,1.4954791069030762,2000-03-01 00:00:00-03:00
43,1.4582746028900146,2000-03-02 00:00:00-03:00
44,1.4404016733169556,2000-03-03 00:00:00-03:00
45,1.4404016733169556,2000-03-06 00:00:00-03:00
46,1.4404016733169556,2000-03-07 00:00:00-03:00
47,1.4484261274337769,2000-03-08 00:00:00-03:00
48,1.4188812971115112,2000-03-09 00:00:00-03:00
49,1.3860539197921753,2000-03-10 00:00:00-03:00
50,1.3860539197921753,2000-03-13 00:00:00-03:00
51,1.313103437423706,2000-03-14 00:00:00-03:00
52,1.313103437423706,2000-03-15 00:00:00-03:00
53,1.334989070892334,2000-03-16 00:00:00-03:00
54,1.3236815929412842,2000-03-17 00:00:00-03:00
55,1.2401535511016846,2000-03-20 00:00:00-03:00
56,1.278817057609558,2000-03-21 00:00:00-03:00
57,1.3021613359451294,2000-03-22 00:00:00-03:00
58,1.3313411474227905,2000-03-23 00:00:00-03:00
59,1.4042915105819702,2000-03-24 00:00:00-03:00
60,1.440766453742981,2000-03-27 00:00:00-03:00
61,1.3969967365264893,2000-03-28 00:00:00-03:00
62,1.423258662223816,2000-03-29 00:00:00-03:00
63,1.4217997789382935,2000-03-30 00:00:00-03:00
64,1.4590044021606445,2000-03-31 00:00:00-03:00
65,1.4954791069030762,2000-04-03 00:00:00-03:00
66,1.4225293397903442,2000-04-04 00:00:00-03:00
